no , model , rate
4 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.014454165081780145
4 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.015214910612400151
4 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
4 , Evaluation Test Total Detection Rate(RF): , 0.9949542730999684
4 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
4 , Evaluation Test Total Detection Rate(Hybrid): , 0.9891727110270156
4 , Evaluation Test SSH Precision(RF): , 0.3283582089552239
4 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
4 , Evaluation Test SSH Precision(Hybrid): , 0.1953125
4 , Evaluation Test SSH Recall(RF): , 0.88
4 , Evaluation Test SSH Recall(DT): , 1.0
4 , Evaluation Test SSH Recall(Hybrid): , 1.0
4 , Evaluation Test False Positive Rate of total detection(RF): , 0.00474283305227656
4 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
4 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010855817875210793
4 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
5 , Random Forest Model Accuracy Rate (n=100): , 0.9960124891848173
5 , Decision Tree Model Accuracy Rate (depth=4): , 0.9662190121506226
5 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7314260993868261
5 , Test Accuracy Rate of Test DATA(RF): , 0.94575648619985
5 , Test Accuracy Rate of Test DATA(DT): , 0.9716344620053976
5 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5502125421419765
5 , Training/Validation Dataset Total Detection Rate(RF): , 0.9981301421091997
5 , Training/Validation Dataset Total Detection Rate(DT): , 0.9824233358264772
5 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9827973074046372
5 , Training/Validation Dataset SSH Precision(RF): , 0.8148148148148148
5 , Training/Validation Dataset SSH Precision(DT): , 0.3188405797101449
5 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3235294117647059
5 , Training/Validation Dataset SSH Recall(RF): , 1.0
5 , Training/Validation Dataset SSH Recall(DT): , 1.0
5 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
5 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.001885369532428356
5 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.017722473604826545
5 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.017345399698340876
5 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
5 , Evaluation Test Total Detection Rate(RF): , 0.9951645117208031
5 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
5 , Evaluation Test Total Detection Rate(Hybrid): , 0.989277830337433
5 , Evaluation Test SSH Precision(RF): , 0.3384615384615385
5 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
5 , Evaluation Test SSH Precision(Hybrid): , 0.1968503937007874
5 , Evaluation Test SSH Recall(RF): , 0.88
5 , Evaluation Test SSH Recall(DT): , 1.0
5 , Evaluation Test SSH Recall(Hybrid): , 1.0
5 , Evaluation Test False Positive Rate of total detection(RF): , 0.00453204047217538
5 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
5 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010750421585160203
5 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
6 , Random Forest Model Accuracy Rate (n=100): , 0.9961253432644923
6 , Decision Tree Model Accuracy Rate (depth=4): , 0.9674039799872098
6 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7614829026069292
6 , Test Accuracy Rate of Test DATA(RF): , 0.9468429085077213
6 , Test Accuracy Rate of Test DATA(DT): , 0.9714318356225803
6 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5556748320787742
6 , Training/Validation Dataset Total Detection Rate(RF): , 0.9969650986342944
6 , Training/Validation Dataset Total Detection Rate(DT): , 0.9844461305007587
6 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9848254931714719
6 , Training/Validation Dataset SSH Precision(RF): , 0.7857142857142857
6 , Training/Validation Dataset SSH Precision(DT): , 0.36065573770491804
6 , Training/Validation Dataset SSH Precision(Hybrid): , 0.36666666666666664
6 , Training/Validation Dataset SSH Recall(RF): , 0.9166666666666666
6 , Training/Validation Dataset SSH Recall(DT): , 0.9166666666666666
6 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9166666666666666
6 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.002297090352220521
6 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.014931087289433384
6 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01454823889739663
6 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
6 , Evaluation Test Total Detection Rate(RF): , 0.9960054662041417
6 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
6 , Evaluation Test Total Detection Rate(Hybrid): , 0.9893829496478503
6 , Evaluation Test SSH Precision(RF): , 0.38596491228070173
6 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
6 , Evaluation Test SSH Precision(Hybrid): , 0.1984126984126984
6 , Evaluation Test SSH Recall(RF): , 0.88
6 , Evaluation Test SSH Recall(DT): , 1.0
6 , Evaluation Test SSH Recall(Hybrid): , 1.0
6 , Evaluation Test False Positive Rate of total detection(RF): , 0.0036888701517706576
6 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
6 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010645025295109613
6 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
7 , Random Forest Model Accuracy Rate (n=100): , 0.9962570063574465
7 , Decision Tree Model Accuracy Rate (depth=4): , 0.9677989692660723
7 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7328743934093217
