Destination,Destination Port,Label,ssh,web
199.172.144.24,80,web,6.0,36.0
199.172.144.25,80,web,4.0,20.0
199.173.162.18,80,web,,24.0
199.173.224.3,80,web,,26.0
199.181.172.200,80,web,,4.0
199.181.172.234,80,web,,1.0
199.181.172.237,80,web,,4.0
199.181.172.238,80,web,,16.0
199.181.172.247,80,web,,6.0
199.186.148.129,80,web,,2.0
199.199.118.156,80,web,,94.0
199.199.118.247,80,web,,1.0
199.208.247.11,80,web,,1.0
199.222.69.10,80,web,,60.0
199.232.56.13,80,web,,46.0
199.234.225.77,80,web,,3.0
199.242.194.176,80,web,1.0,4.0
199.242.194.25,80,web,,1.0
199.249.19.183,80,web,,2.0
199.254.137.66,80,web,,11.0
199.29.97.146,80,web,,9.0
199.35.192.101,80,web,,1.0
199.35.192.160,80,web,,22.0
199.35.192.164,80,web,,18.0
199.35.192.170,80,web,,11.0
199.35.192.173,80,web,,9.0
199.35.192.91,80,web,,30.0
199.50.26.12,80,web,,10.0
199.78.52.10,80,web,,2.0
199.81.195.10,80,web,,7.0
199.94.99.2,80,web,,1.0
199.95.207.36,80,web,,35.0
199.95.207.92,80,web,,10.0
199.95.209.99,80,web,,428.0
199.95.73.221,80,web,,74.0
199.95.73.222,80,web,,2.0
199.95.74.197,80,web,,11.0
199.95.74.253,80,web,,29.0
199.95.74.90,80,web,1.0,715.0
199.95.74.92,80,web,,18.0
199.95.74.94,80,web,,7.0
199.95.74.95,80,web,,21.0
199.95.74.97,80,web,,376.0
202.139.249.250,80,web,,18.0
203.182.230.200,80,web,,2.0
203.182.230.212,80,web,,26.0
204.120.126.156,80,web,,1.0
204.123.2.107,80,web,,313.0
204.123.2.66,80,web,,46.0
204.123.2.94,80,web,,14.0
204.123.9.109,80,web,,1.0
204.123.9.161,80,web,,1.0
204.123.9.65,80,web,,1.0
204.123.9.71,80,web,,5.0
204.123.9.98,80,web,,3.0
204.140.11.187,80,web,,11.0
204.140.11.229,80,web,,2.0
204.140.11.52,80,web,,28.0
204.140.13.69,80,web,,12.0
204.145.237.194,80,web,,2.0
204.146.164.194,80,web,,21.0
204.146.167.73,80,web,,9.0
204.146.18.33,80,web,,364.0
204.146.28.55,80,web,,2.0
204.148.149.254,80,web,,2.0
204.151.243.54,80,web,,25.0
204.151.33.3,80,web,,95.0
204.162.80.139,80,web,,22.0
204.162.80.145,80,web,,24.0
204.162.80.181,80,web,,16.0
204.162.96.31,80,web,,6.0
204.162.96.33,80,web,,1.0
204.164.100.65,80,web,1.0,10.0
204.168.91.11,80,web,,44.0
204.168.91.184,80,web,,2.0
204.17.42.16,80,web,,37.0
204.17.42.21,80,web,,3.0
204.176.146.249,80,web,,2.0
204.183.199.145,80,web,,1.0
204.189.94.97,80,web,,2.0
204.198.135.21,80,web,,2.0
204.202.129.230,80,web,,57.0
204.202.129.234,80,web,,24.0
204.202.129.235,80,web,,2.0
204.202.130.223,80,web,,48.0
204.202.134.10,80,web,,4.0
204.202.134.73,80,web,,2.0
204.202.136.230,80,web,,175.0
204.202.136.233,80,web,,9.0
204.202.143.231,80,web,,1.0
204.212.103.100,80,web,,74.0
204.223.162.10,80,web,,11.0
204.238.155.37,80,web,,10.0
204.249.220.114,80,web,,1.0
204.255.198.113,80,web,,37.0
204.255.198.132,80,web,,4.0
204.255.198.2,80,web,,218.0
204.255.198.41,80,web,,14.0
204.34.175.79,80,web,,19.0
204.57.245.211,80,web,,22.0
204.68.24.100,80,web,,1.0
204.68.24.101,80,web,,1.0
204.68.24.107,80,web,,11.0
204.68.24.108,80,web,,1.0
204.7.227.75,80,web,,1.0
204.71.177.168,80,web,,9.0
204.71.177.204,80,web,,4.0
204.71.177.206,80,web,,2.0
204.71.177.3,80,web,,4.0
204.71.188.51,80,web,,3.0
204.71.189.158,80,web,,2.0
204.71.191.203,80,web,,4.0
204.71.191.209,80,web,,2.0
204.71.191.226,80,web,1.0,19.0
204.71.191.32,80,web,,19.0
204.71.196.80,80,web,1.0,11.0
204.71.200.128,80,web,,14.0
204.71.200.129,80,web,,197.0
204.71.200.155,80,web,,1.0
204.71.200.184,80,web,,1.0
204.71.200.192,80,web,,1.0
204.71.200.193,80,web,,1.0
204.71.200.203,80,web,,6.0
204.71.200.205,80,web,,4.0
204.71.200.215,80,web,,2.0
204.71.200.223,80,web,,2.0
204.71.200.241,80,web,,3.0
204.71.200.30,80,web,,1.0
204.71.200.74,80,web,,74.0
204.71.200.86,80,web,,1.0
204.71.200.98,80,web,,1.0
204.71.201.164,80,web,,6.0
204.71.201.75,80,web,,11.0
204.71.242.124,80,web,,1.0
204.71.242.150,80,web,,1.0
204.71.242.25,80,web,,4.0
204.71.242.42,80,web,,3.0
204.74.88.24,80,web,,21.0
204.74.88.36,80,web,,173.0
204.74.88.38,80,web,,24.0
205.130.131.15,80,web,,3.0
205.131.175.20,80,web,,74.0
205.131.175.5,80,web,,3.0
205.131.176.11,80,web,2.0,18.0
205.132.175.200,80,web,,4.0
205.132.175.205,80,web,,24.0
205.132.175.210,80,web,,20.0
205.139.28.70,80,web,,54.0
205.139.28.98,80,web,,89.0
205.139.28.99,80,web,,1.0
205.147.50.2,80,web,,1.0
205.147.50.68,80,web,,13.0
205.150.151.116,80,web,1.0,12.0
205.153.28.61,80,web,,5.0
205.156.54.206,80,web,1.0,16.0
205.157.69.25,80,web,,34.0
205.158.50.116,80,web,,2.0
205.158.50.71,80,web,,51.0
205.168.248.10,80,web,,40.0
205.168.248.2,80,web,,2.0
205.170.140.11,80,web,,9.0
205.175.220.62,80,web,,7.0
205.180.57.134,80,web,,1.0
205.180.57.25,80,web,,1.0
205.180.57.9,80,web,,1.0
205.180.59.51,80,web,,33.0
205.180.60.96,80,web,,2.0
205.181.104.2,80,web,,13.0
205.181.112.114,80,web,,2.0
205.181.112.117,80,web,,1.0
205.181.112.120,80,web,,1.0
205.181.112.183,80,web,,1.0
205.181.112.65,80,web,,1065.0
205.181.112.67,80,web,1.0,301.0
205.181.112.70,80,web,,3.0
205.181.112.72,80,web,,21.0
205.181.112.74,80,web,,64.0
205.181.199.103,80,web,,2.0
205.185.55.66,80,web,,2.0
205.188.146.109,80,web,,104.0
205.188.146.90,80,web,,33.0
205.188.218.42,80,web,,1.0
205.188.218.46,80,web,,4.0
205.216.146.123,80,web,,3.0
205.216.147.29,80,web,,2.0
205.216.163.90,80,web,,34.0
205.216.163.91,80,web,,48.0
205.216.163.96,80,web,,1.0
205.228.184.105,80,web,,124.0
205.228.184.136,80,web,,2.0
205.228.184.151,80,web,,1.0
205.228.184.152,80,web,,1.0
205.228.184.153,80,web,,2.0
205.228.184.16,80,web,,2.0
205.228.184.61,80,web,,2.0
205.254.196.194,80,web,,8.0
205.254.240.185,80,web,,110.0
205.254.253.152,80,web,,48.0
206.101.198.45,80,web,,2.0
206.101.198.76,80,web,,41.0
206.103.136.193,80,web,,14.0
206.105.64.87,80,web,,176.0
206.109.6.137,80,web,,1.0
206.111.160.131,80,web,,1.0
206.111.160.134,80,web,,1.0
206.117.145.110,80,web,,1.0
206.13.45.2,80,web,,1.0
206.132.10.191,80,web,,1.0
206.132.135.201,80,web,,25.0
206.132.142.186,80,web,,1.0
206.132.15.69,80,web,,1.0
206.132.244.97,80,web,,1.0
206.132.25.206,80,web,,72.0
206.132.25.36,80,web,,14.0
206.132.25.48,80,web,,13.0
206.132.25.49,80,web,,18.0
206.132.25.51,80,web,,1148.0
206.132.32.32,80,web,,14.0
206.135.93.6,80,web,,2.0
206.137.126.3,80,web,,2.0
206.148.40.165,80,web,,138.0
206.15.114.128,80,web,,364.0
206.15.114.37,80,web,,26.0
206.15.114.54,80,web,,5.0
206.15.114.71,80,web,,16.0
206.15.114.88,80,web,,14.0
206.151.165.243,80,web,,6.0
206.154.102.2,80,web,,75.0
206.184.238.129,80,web,,39.0
206.190.33.196,80,web,,1.0
206.190.45.108,80,web,,65.0
206.190.95.2,80,web,,4.0
206.243.238.248,80,web,,22.0
206.246.131.226,80,web,,23.0
206.247.179.211,80,web,,1.0
206.25.164.122,80,web,,3.0
206.25.164.25,80,web,,1.0
206.25.182.132,80,web,,2.0
206.25.90.18,80,web,,2.0
206.25.90.20,80,web,,8.0
